category,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,is_premium,source,review_status
Burkina Faso,BEPC,Quel est le chef-lieu de la région du Tannounyan ?,Ziniaré,Tougan,Dédougou,Banfora,3,La liste officielle associe Tannounyan à Banfora.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quel est le chef-lieu de la région du Djôrô ?,Ouahigouya,Kaya,Fada N’Gourma,Gaoua,3,La liste officielle associe Djôrô à Gaoua.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quel est le chef-lieu de la région du Goulmou ?,Bogandé,Tenkodogo,Diapaga,Fada N’Gourma,3,La liste officielle associe Goulmou à Fada N’Gourma.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quel est le chef-lieu de la région du Liptako ?,Tougan,Kaya,Dori,Djibo,2,La liste officielle associe Liptako à Dori.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quel est le chef-lieu de la région du Nando ?,Manga,Koudougou,Banfora,Gaoua,1,La liste officielle associe Nando à Koudougou.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quel est le chef-lieu de la région du Nakambé ?,Kaya,Manga,Tenkodogo,Ziniaré,2,La liste officielle associe Nakambé à Tenkodogo.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quel est le chef-lieu de la région du Nazinon ?,Dori,Dédougou,Ouagadougou,Manga,3,La liste officielle associe Nazinon à Manga.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quel est le chef-lieu de la région de l’Oubri ?,Ouahigouya,Kaya,Ziniaré,Koudougou,2,La liste officielle associe Oubri à Ziniaré.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quel est le chef-lieu de la région du Yaadga ?,Ouahigouya,Fada N’Gourma,Tougan,Bobo-Dioulasso,0,La liste officielle associe Yaadga à Ouahigouya.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quelle est la superficie indiquée pour le Burkina Faso sur la page de présentation de la Présidence du Faso ?,174 000 km²,374 000 km²,274 000 km²,47 000 km²,2,La page de présentation indique une superficie de 274 000 kilomètres carrés.,false,"Présidence du Faso, Présentation du Burkina Faso",validated
Burkina Faso,BEPC,Combien de pays frontaliers la page de présentation de la Présidence cite-t-elle pour le Burkina Faso ?,5,4,7,6,3,La page officielle indique que le Burkina Faso partage ses frontières avec six pays.,false,"Présidence du Faso, Présentation du Burkina Faso",validated
Burkina Faso,BEPC,Quel pays est cité comme frontalier du Burkina Faso au nord et à l’ouest ?,Bénin,Mali,Togo,Ghana,1,La présentation officielle cite le Mali au nord et à l’ouest.,false,"Présidence du Faso, Présentation du Burkina Faso",validated
Burkina Faso,BEPC,Quel pays est cité comme frontalier du Burkina Faso au nord et à l’est ?,Ghana,Niger,Togo,Côte d’Ivoire,1,La présentation officielle cite le Niger au nord et à l’est.,false,"Présidence du Faso, Présentation du Burkina Faso",validated
Burkina Faso,BEPC,Quel pays frontalier du Burkina Faso est situé au sud-est selon la présentation officielle ?,Côte d’Ivoire,Mali,Niger,Bénin,3,La présentation officielle cite le Bénin au sud-est.,false,"Présidence du Faso, Présentation du Burkina Faso",validated
Culture générale,BEPC,Quel organe pompe le sang dans le corps humain ?,Le foie,Le cœur,Les reins,Les poumons,1,Le cœur est le muscle qui propulse le sang dans les vaisseaux pour irriguer l’organisme.,false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Culture générale,BEPC,Combien de joueurs une équipe de football aligne-t-elle sur le terrain ?,10,11,12,9,1,"Une équipe de football compte 11 joueurs sur le terrain, gardien inclus.",false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Culture générale,BEPC,Quel est le symbole chimique de l’or ?,Fe,Or,Au,Ag,2,"Le symbole Au vient du latin aurum, qui signifie or.",false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Culture générale,BEPC,Quelle est la planète la plus proche du Soleil ?,Jupiter,Mercure,Vénus,Mars,1,Mercure est la première planète du Système solaire en partant du Soleil.,false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Culture générale,BEPC,Qui a écrit Les Misérables ?,Balzac,Molière,Émile Zola,Victor Hugo,3,Les Misérables est un roman de Victor Hugo publié au XIXe siècle.,false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Histoire-Géo,BEPC,En quelle année a débuté la Première Guerre mondiale ?,1939,1914,1945,1918,1,La Première Guerre mondiale commence en 1914 et se termine en 1918.,false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Histoire-Géo,BEPC,En quelle année l’ONU a-t-elle été créée ?,1945,1919,1960,1975,0,L’Organisation des Nations unies est créée en 1945 après la Seconde Guerre mondiale.,false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Histoire-Géo,BEPC,Quel est le plus grand désert chaud du monde ?,Le Gobi,Le Kalahari,L’Atacama,Le Sahara,3,Le Sahara est généralement considéré comme le plus grand désert chaud du monde.,false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Histoire-Géo,BEPC,La conférence de Berlin de 1884-1885 concernait principalement :,La création de l’ONU,La fin de la guerre froide,La création de l’Union africaine,Le partage de l’Afrique,3,La conférence de Berlin a organisé les règles du partage colonial de l’Afrique entre puissances européennes.,false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Histoire-Géo,BEPC,La CEDEAO a été créée en quelle année ?,1963,1984,1994,1975,3,La Communauté économique des États de l’Afrique de l’Ouest a été fondée en 1975.,false,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
SVT,BEPC,Quel gaz les plantes absorbent-elles principalement pour la photosynthèse ?,Le dioxyde de carbone,L’azote,L’hydrogène,L’oxygène,0,"Pendant la photosynthèse, la plante utilise le dioxyde de carbone et libère de l’oxygène.",true,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
SVT,BEPC,Combien de chromosomes possède normalement une cellule humaine somatique ?,23,48,46,44,2,"Les cellules somatiques humaines possèdent 46 chromosomes, soit 23 paires.",true,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
SVT,BEPC,Le paludisme est transmis principalement par :,L’eau salée,Le contact de la peau,Le moustique anophèle femelle,La mouche tsé-tsé,2,Le parasite du paludisme est transmis par la piqûre d’un moustique anophèle femelle infecté.,true,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
SVT,BEPC,Quel organe assure principalement les échanges gazeux respiratoires ?,La rate,Les poumons,L’estomac,Le foie,1,Les poumons permettent les échanges d’oxygène et de dioxyde de carbone entre l’air et le sang.,true,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
SVT,BEPC,Les tendons relient généralement :,Les nerfs aux muscles,La peau aux os,Les os entre eux,Les muscles aux os,3,Les tendons attachent les muscles aux os ; les ligaments relient surtout les os entre eux.,true,Connaissance scolaire stable à vérifier lors de la revue éditoriale,validated
Mathématiques,BEPC,Calcule : 12 + 9 = ?,11,23,19,21,3,On additionne les deux nombres : 12 + 9 = 21.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 16 + 11 = ?,29,27,25,79,1,On additionne les deux nombres : 16 + 11 = 27.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 20 + 13 = ?,31,33,66,35,1,On additionne les deux nombres : 20 + 13 = 33.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 24 + 15 = ?,41,39,37,69,1,On additionne les deux nombres : 24 + 15 = 39.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 28 + 17 = ?,43,47,88,45,3,On additionne les deux nombres : 28 + 17 = 45.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 32 + 19 = ?,49,51,53,26,1,On additionne les deux nombres : 32 + 19 = 51.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 36 + 21 = ?,59,77,55,57,3,On additionne les deux nombres : 36 + 21 = 57.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 40 + 23 = ?,63,47,65,61,0,On additionne les deux nombres : 40 + 23 = 63.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 44 + 25 = ?,69,33,71,67,0,On additionne les deux nombres : 44 + 25 = 69.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 48 + 27 = ?,77,35,73,75,3,On additionne les deux nombres : 48 + 27 = 75.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 6 × 12 ?,78,60,18,72,3,La multiplication donne 6 × 12 = 72.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 7 × 9 ?,70,54,16,63,3,La multiplication donne 7 × 9 = 63.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 8 × 11 ?,96,77,88,19,2,La multiplication donne 8 × 11 = 88.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 9 × 9 ?,90,81,72,18,1,La multiplication donne 9 × 9 = 81.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 10 × 5 ?,15,45,50,60,2,La multiplication donne 10 × 5 = 50.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 11 × 5 ?,55,66,16,50,0,La multiplication donne 11 × 5 = 55.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 12 × 10 ?,110,22,132,120,3,La multiplication donne 12 × 10 = 120.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 13 × 9 ?,22,130,117,108,2,La multiplication donne 13 × 9 = 117.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 14 × 12 ?,156,26,168,182,2,La multiplication donne 14 × 12 = 168.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 15 × 5 ?,75,70,20,90,0,La multiplication donne 15 × 5 = 75.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 16 × 7 ?,128,105,112,23,2,La multiplication donne 16 × 7 = 112.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 17 × 12 ?,29,192,204,221,2,La multiplication donne 17 × 12 = 204.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 18 × 4 ?,22,90,68,72,3,La multiplication donne 18 × 4 = 72.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 19 × 12 ?,247,228,31,216,1,La multiplication donne 19 × 12 = 228.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 20 × 9 ?,171,180,200,29,1,La multiplication donne 20 × 9 = 180.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 21 × 6 ?,147,126,120,27,1,La multiplication donne 21 × 6 = 126.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 22 × 4 ?,84,26,110,88,3,La multiplication donne 22 × 4 = 88.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 23 × 10 ?,33,230,253,220,1,La multiplication donne 23 × 10 = 230.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 24 × 5 ?,115,144,120,29,2,La multiplication donne 24 × 5 = 120.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est la valeur de 25 × 12 ?,300,37,325,288,0,La multiplication donne 25 × 12 = 300.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,15 % de 200 égale :,30,20,40,13,0,15 % signifie 15/100. Donc 15 % de 200 = 15 × 200 / 100 = 30.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,20 % de 350 égale :,60,70,80,17,1,20 % signifie 20/100. Donc 20 % de 350 = 20 × 350 / 100 = 70.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,25 % de 240 égale :,9,50,70,60,3,25 % signifie 25/100. Donc 25 % de 240 = 25 × 240 / 100 = 60.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,30 % de 500 égale :,140,160,150,16,2,30 % signifie 30/100. Donc 30 % de 500 = 30 × 500 / 100 = 150.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,40 % de 150 égale :,60,70,3,50,0,40 % signifie 40/100. Donc 40 % de 150 = 40 × 150 / 100 = 60.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,5 % de 800 égale :,30,50,160,40,3,5 % signifie 5/100. Donc 5 % de 800 = 5 × 800 / 100 = 40.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,35 % de 400 égale :,150,140,11,130,1,35 % signifie 35/100. Donc 35 % de 400 = 35 × 400 / 100 = 140.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,60 % de 90 égale :,54,44,64,1,0,60 % signifie 60/100. Donc 60 % de 90 = 60 × 90 / 100 = 54.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,75 % de 160 égale :,130,2,110,120,3,75 % signifie 75/100. Donc 75 % de 160 = 75 × 160 / 100 = 120.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,8 % de 1250 égale :,100,110,156,90,0,8 % signifie 8/100. Donc 8 % de 1250 = 8 × 1250 / 100 = 100.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,18 % de 300 égale :,54,44,64,16,0,18 % signifie 18/100. Donc 18 % de 300 = 18 × 300 / 100 = 54.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,45 % de 200 égale :,4,90,100,80,1,45 % signifie 45/100. Donc 45 % de 200 = 45 × 200 / 100 = 90.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,50 % de 370 égale :,175,185,7,195,1,50 % signifie 50/100. Donc 50 % de 370 = 50 × 370 / 100 = 185.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 15 = 18, alors x vaut :",4,3,18,15,1,On soustrait 15 des deux côtés : x = 18 − 15 = 3.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 6 = 10, alors x vaut :",6,4,5,10,1,On soustrait 6 des deux côtés : x = 10 − 6 = 4.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 12 = 17, alors x vaut :",17,6,5,12,2,On soustrait 12 des deux côtés : x = 17 − 12 = 5.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 9 = 15, alors x vaut :",6,7,9,15,0,On soustrait 9 des deux côtés : x = 15 − 9 = 6.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 16 = 24, alors x vaut :",16,9,8,24,2,On soustrait 16 des deux côtés : x = 24 − 16 = 8.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 16 = 25, alors x vaut :",16,10,9,25,2,On soustrait 16 des deux côtés : x = 25 − 16 = 9.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 16 = 26, alors x vaut :",10,11,16,26,0,On soustrait 16 des deux côtés : x = 26 − 16 = 10.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 9 = 20, alors x vaut :",9,12,20,11,3,On soustrait 9 des deux côtés : x = 20 − 9 = 11.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 6 = 19, alors x vaut :",13,19,6,14,0,On soustrait 6 des deux côtés : x = 19 − 6 = 13.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 12 = 26, alors x vaut :",14,12,26,15,0,On soustrait 12 des deux côtés : x = 26 − 12 = 14.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 17 = 32, alors x vaut :",17,32,16,15,3,On soustrait 17 des deux côtés : x = 32 − 17 = 15.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 14 = 30, alors x vaut :",30,16,14,17,1,On soustrait 14 des deux côtés : x = 30 − 14 = 16.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 16 = 33, alors x vaut :",17,18,16,33,0,On soustrait 16 des deux côtés : x = 33 − 16 = 17.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 8 = 26, alors x vaut :",26,8,18,19,2,On soustrait 8 des deux côtés : x = 26 − 8 = 18.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 6 = 25, alors x vaut :",6,19,25,20,1,On soustrait 6 des deux côtés : x = 25 − 6 = 19.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 6 = 26, alors x vaut :",26,21,20,6,2,On soustrait 6 des deux côtés : x = 26 − 6 = 20.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 10 = 31, alors x vaut :",31,22,10,21,3,On soustrait 10 des deux côtés : x = 31 − 10 = 21.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,"Si x + 9 = 31, alors x vaut :",22,9,23,31,0,On soustrait 9 des deux côtés : x = 31 − 9 = 22.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 3 cm ?,16 cm,12 cm,9 cm,6 cm,1,Le périmètre d’un carré est 4 × côté. Donc 4 × 3 = 12 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 5 cm ?,24 cm,25 cm,20 cm,10 cm,2,Le périmètre d’un carré est 4 × côté. Donc 4 × 5 = 20 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 6 cm ?,36 cm,24 cm,12 cm,28 cm,1,Le périmètre d’un carré est 4 × côté. Donc 4 × 6 = 24 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 7 cm ?,49 cm,32 cm,28 cm,14 cm,2,Le périmètre d’un carré est 4 × côté. Donc 4 × 7 = 28 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 8 cm ?,16 cm,32 cm,64 cm,36 cm,1,Le périmètre d’un carré est 4 × côté. Donc 4 × 8 = 32 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 9 cm ?,18 cm,36 cm,40 cm,81 cm,1,Le périmètre d’un carré est 4 × côté. Donc 4 × 9 = 36 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 10 cm ?,100 cm,40 cm,20 cm,44 cm,1,Le périmètre d’un carré est 4 × côté. Donc 4 × 10 = 40 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 11 cm ?,44 cm,121 cm,22 cm,48 cm,0,Le périmètre d’un carré est 4 × côté. Donc 4 × 11 = 44 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 12 cm ?,48 cm,52 cm,24 cm,144 cm,0,Le périmètre d’un carré est 4 × côté. Donc 4 × 12 = 48 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 13 cm ?,26 cm,169 cm,52 cm,56 cm,2,Le périmètre d’un carré est 4 × côté. Donc 4 × 13 = 52 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 14 cm ?,196 cm,60 cm,28 cm,56 cm,3,Le périmètre d’un carré est 4 × côté. Donc 4 × 14 = 56 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 15 cm ?,225 cm,64 cm,60 cm,30 cm,2,Le périmètre d’un carré est 4 × côté. Donc 4 × 15 = 60 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 16 cm ?,32 cm,256 cm,64 cm,68 cm,2,Le périmètre d’un carré est 4 × côté. Donc 4 × 16 = 64 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 17 cm ?,68 cm,34 cm,72 cm,289 cm,0,Le périmètre d’un carré est 4 × côté. Donc 4 × 17 = 68 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 18 cm ?,324 cm,72 cm,76 cm,36 cm,1,Le périmètre d’un carré est 4 × côté. Donc 4 × 18 = 72 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 19 cm ?,38 cm,76 cm,361 cm,80 cm,1,Le périmètre d’un carré est 4 × côté. Donc 4 × 19 = 76 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 20 cm ?,40 cm,84 cm,80 cm,400 cm,2,Le périmètre d’un carré est 4 × côté. Donc 4 × 20 = 80 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 21 cm ?,441 cm,88 cm,84 cm,42 cm,2,Le périmètre d’un carré est 4 × côté. Donc 4 × 21 = 84 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quel est le périmètre d’un carré de côté 22 cm ?,88 cm,484 cm,92 cm,44 cm,0,Le périmètre d’un carré est 4 × côté. Donc 4 × 22 = 88 cm.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est l’aire d’un rectangle de longueur 12 cm et de largeur 5 cm ?,72 cm²,17 cm²,34 cm²,60 cm²,3,L’aire d’un rectangle est longueur × largeur : 12 × 5 = 60 cm².,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est l’aire d’un rectangle de longueur 10 cm et de largeur 7 cm ?,34 cm²,70 cm²,80 cm²,17 cm²,1,L’aire d’un rectangle est longueur × largeur : 10 × 7 = 70 cm².,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est l’aire d’un rectangle de longueur 18 cm et de largeur 4 cm ?,72 cm²,90 cm²,44 cm²,22 cm²,0,L’aire d’un rectangle est longueur × largeur : 18 × 4 = 72 cm².,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est l’aire d’un rectangle de longueur 15 cm et de largeur 9 cm ?,135 cm²,24 cm²,150 cm²,48 cm²,0,L’aire d’un rectangle est longueur × largeur : 15 × 9 = 135 cm².,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est l’aire d’un rectangle de longueur 22 cm et de largeur 8 cm ?,176 cm²,30 cm²,198 cm²,60 cm²,0,L’aire d’un rectangle est longueur × largeur : 22 × 8 = 176 cm².,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est l’aire d’un rectangle de longueur 30 cm et de largeur 12 cm ?,84 cm²,360 cm²,42 cm²,390 cm²,1,L’aire d’un rectangle est longueur × largeur : 30 × 12 = 360 cm².,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est l’aire d’un rectangle de longueur 14 cm et de largeur 11 cm ?,50 cm²,25 cm²,168 cm²,154 cm²,3,L’aire d’un rectangle est longueur × largeur : 14 × 11 = 154 cm².,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Quelle est l’aire d’un rectangle de longueur 25 cm et de largeur 6 cm ?,175 cm²,31 cm²,150 cm²,62 cm²,2,L’aire d’un rectangle est longueur × largeur : 25 × 6 = 150 cm².,true,Règle scolaire vérifiée mécaniquement,validated
